编号,答题时长,地理位置国家和地区,地理位置省,地理位置市,自定义字段,1.目前您大部分时间从事哪方面的工作？:开发,1.目前您大部分时间从事哪方面的工作？:测试,1.目前您大部分时间从事哪方面的工作？:产品经理,1.目前您大部分时间从事哪方面的工作？:数据分析,1.目前您大部分时间从事哪方面的工作？:后台运维,1.目前您大部分时间从事哪方面的工作？:其他,2.您的?程经验?约多?时间？,3.对比软件官方的修改记录（如图下方所示），您觉得以下我们提供的异常应用问题的描述是否可以接收？其中高亮的文字为异常应用问题的描述。检测效果如下：[图片][图片]软件官方的修改记录v11.17：* 自动播放下一个推荐的视屏,4.我们有两套模型A和B：A模型较为简单，每秒能处理200条评论，在实验环境达到了60%左右的问题检测准确度和召回率；B模型比较复杂，每秒能处理125条评论，在实验环境达到了80%左右的问题检测准确度和召回率；你更倾向于选择哪种模型：,5.您愿意使?或者推荐开发者在企业环境中尝试使?这样的?具吗？
19,95,中国,上海市,上海市,,,,,,,F.其他,C.3~5年,B.可以接受,A.A模型,B.会，可能会有一定帮助
18,127,中国,浙江省,杭州市,,A.开发,,,,,,B.1~3年,B.可以接受,B.B模型,C.不太清楚
17,116,中国,香港,,,,,,,,F.其他,C.3~5年,B.可以接受,B.B模型,A.十分愿意，能够减少人力分析的投入
16,103,中国,上海市,上海市,,A.开发,,,,,,C.3~5年,B.可以接受,A.A模型,B.会，可能会有一定帮助
15,148,中国,香港,,,A.开发,,,,,,B.1~3年,A.完全可以接受,B.B模型,B.会，可能会有一定帮助
14,31,中国,香港,,,,,,,,F.其他,B.1~3年,A.完全可以接受,A.A模型,A.十分愿意，能够减少人力分析的投入
13,172,中国,浙江省,,,A.开发,,,,,,B.1~3年,A.完全可以接受,B.B模型,B.会，可能会有一定帮助
12,231,中国,广东省,深圳市,,,,,D.数据分析,,,A.少于1年,B.可以接受,B.B模型,B.会，可能会有一定帮助
11,117,中国,广东省,深圳市,,,,,,,F.其他,A.少于1年,A.完全可以接受,B.B模型,A.十分愿意，能够减少人力分析的投入
10,54,中国,广东省,,,,,,D.数据分析,,,A.少于1年,B.可以接受,B.B模型,B.会，可能会有一定帮助
9,77,中国,浙江省,杭州市,,,,,D.数据分析,,,A.少于1年,A.完全可以接受,B.B模型,B.会，可能会有一定帮助
8,62,中国,香港,,,,,,D.数据分析,,,C.3~5年,B.可以接受,B.B模型,A.十分愿意，能够减少人力分析的投入
7,217,中国,上海市,上海市,,A.开发,,,,,,C.3~5年,B.可以接受,A.A模型,B.会，可能会有一定帮助
6,106,中国,上海市,上海市,,,B.测试,,,,,B.1~3年,B.可以接受,B.B模型,D.不会，不如人工来的准确
5,111,中国,浙江省,杭州市,,A.开发,,,,,,D.5年以上,B.可以接受,B.B模型,A.十分愿意，能够减少人力分析的投入
4,83,中国,浙江省,,,A.开发,,,,,,B.1~3年,A.完全可以接受,B.B模型,B.会，可能会有一定帮助
3,91,中国,浙江省,杭州市,,A.开发,,,,,,D.5年以上,B.可以接受,A.A模型,A.十分愿意，能够减少人力分析的投入
2,138,中国,上海市,上海市,,A.开发,,,,,,C.3~5年,B.可以接受,B.B模型,A.十分愿意，能够减少人力分析的投入
1,91,中国,广东省,深圳市,,A.开发,,,,,,A.少于1年,A.完全可以接受,C.都可以接受,A.十分愿意，能够减少人力分析的投入
